CMBEGIN,Sep 24 10:16:54,/users/lclarkfd,cp top_secret/intro-2.jpg .,cp: cannot stat 'top_secret/intro-2.jpg': No such file or directory,cp top_secret/intro-2.jpg .
CMBEGIN,,,cd top_secret,,
CMBEGIN,Sep 24 10:16:34,/users/lclarkfd,ls,answers.txt  intro-1.jpg  intro-3.jpg  intro-4.jpg  intro-5.jpg,ls
CMBEGIN,,,cd ..,,
CMBEGIN,,,cp top_secret/intro-3.jpg .,,
CMBEGIN,Sep 24 10:17:04,/users/lclarkfd/top_secret,ls,intro-1.jpg  intro-3.jpg  top_secret,ls
CMBEGIN,,,cp top_secret/intro-4.jpg .,,
CMBEGIN,,,cp top_secret/intro-5.jpg .,,
CMBEGIN,,,exit,exit,
CMBEGIN,,,cd top_secret,,
CMBEGIN,Sep 24 10:19:54,/users/lclarkfd,ls,answers.txt  intro-1.jpg  intro-3.jpg  intro-4.jpg  intro-5.jpg,ls
CMBEGIN,,,cd .    ^H,,
CMBEGIN,,,cd ..,,
CMBEGIN,,,cd ..,,
CMBEGIN,,,cd ..,,
CMBEGIN,Sep 24 10:20:14,/users/lclarkfd/top_secret,ls,bin   dev  groups  initrd.img<HT>   lib<HT>  local       media  opt   proj  run   share  srv  tmp<HT>  usr  vmlinuz<NL>boot  etc  home    initrd.img.old  lib64  lost+found  mnt    proc  root  sbin  snap   sys  users  var  vmlinuz.old,ls
CMBEGIN,Sep 24 10:20:32,/,locate,locate: no pattern to search for specified,locate
CMBEGIN,,,locate *.jpg,locate: can not open `/var/lib/mlocate/mlocate.db': Permission denied,
CMBEGIN,,,sudo locate *.jpg,/usr/share/doc/libsane/umax/sane-logo.jpg<NL>/usr/share/doc/libsane/umax/sane-umax-advanced.jpg<NL>/usr/share/doc/libsane/umax/sane-umax-histogram.jpg<NL>/usr/share/doc/libsane/umax/sane-umax-standard.jpg<NL>/usr/share/doc/libsane/umax/sane-umax-text.jpg<NL>/usr/share/doc/libsane/umax/sane-umax-text2.jpg<NL>/usr/share/doc/libsane/umax/sane-umax-text4.jpg<NL>/usr/share/doc/libsane/umax/sane-umax.jpg,
CMBEGIN,,,locate *-2*.j*,locate: can not open `/var/lib/mlocate/mlocate.db': Permission denied,
CMBEGIN,,,sudo e *-2*.j*,,
CMBEGIN,,,sudo locate *-2*.J*,,
CMBEGIN,Sep 24 10:21:28,/,sudo locate intro  ,/etc/apparmor.d/abstractions/apparmor_api/introspect<NL>/usr/lib/python3/dist-packages/dbus/_expat_introspect_parser.py<NL>/usr/lib/python3/dist-packages/dbus/__pycache__/_expat_introspect_parser.cpython-35.pyc<NL>/usr/share/man/man1/intro.1.gz<NL>/usr/share/man/man2/intro.2.gz<NL>/usr/share/man/man3/intro.3.gz<NL>/usr/share/man/man4/intro.4.gz<NL>/usr/share/man/man5/intro.5.gz<NL>/usr/share/man/man6/intro.6.gz<NL>/usr/share/man/man7/intro.7.gz<NL>/usr/share/man/man8/intro.8.gz<NL>/usr/share/vim/vim74/doc/intro.txt,sudo locate intro
CMBEGIN,,,cd usr/share/vim/vim74/doc,,
CMBEGIN,Sep 24 10:20:29,/,ls,arabic.txt    eval.txt<HT>    helphelp.txt       if_sniff.txt  netbeans.txt  os_risc.txt<HT>     pi_tar.txt      rileft.txt    tags.vim-tiny  usr_06.txt  usr_24.txt  usr_42.txt<HT>vi_diff.txt<NL>autocmd.txt   farsi.txt     help.txt<HT>       if_tcl.txt    options.txt   os_unix.txt<HT>     pi_vimball.txt  russian.txt   term.txt<HT>  usr_07.txt  usr_25.txt  usr_43.txt<HT>vim2html.pl<NL>change.txt    filetype.txt  help.txt.vim-tiny  indent.txt    os_390.txt    os_vms.txt<HT>     pi_zip.txt      scroll.txt    tips.txt<HT>  usr_08.txt  usr_26.txt  usr_44.txt<HT>visual.txt<NL>channel.txt   fold.txt<HT>    howto.txt<HT>       index.txt     os_amiga.txt  os_win32.txt      print.txt<HT>     sign.txt<HT>   todo.txt<HT>  usr_09.txt  usr_27.txt  usr_45.txt<HT>windows.txt<NL>cmdline.txt   ft_ada.txt    if_cscop.txt       insert.txt    os_beos.txt   pattern.txt<HT>     quickfix.txt    spell.txt<HT>   uganda.txt<HT>  usr_10.txt  usr_28.txt  usr_90.txt<HT>workshop.txt<NL>debugger.txt  ft_sql.txt    if_lua.txt<HT>       intro.txt     os_dos.txt    pi_getscript.txt  quickref.txt    sponsor.txt   undo.txt<HT>  usr_11.txt  usr_29.txt  usr_toc.txt<NL>debug.txt     gui.txt<HT>    if_mzsch.txt       map.txt<HT>     os_mac.txt    pi_gzip.txt<HT>     quotes.txt      starting.txt  usr_01.txt<HT>  usr_12.txt  usr_30.txt  various.txt<NL>develop.txt   gui_w32.txt   if_ole.txt<HT>       mbyte.txt     os_mint.txt   pi_logipat.txt    README.Debian   syntax.txt    usr_02.txt<HT>  usr_20.txt  usr_31.txt  version4.txt<NL>diff.txt      gui_x11.txt   if_perl.txt        message.txt   os_msdos.txt  pi_netrw.txt      recover.txt     tabpage.txt   usr_03.txt<HT>  usr_21.txt  usr_32.txt  version5.txt<NL>digraph.txt   hangulin.txt  if_pyth.txt        mlang.txt     os_os2.txt    pi_paren.txt      remote.txt      tags<HT>   usr_04.txt<HT>  usr_22.txt  usr_40.txt  version6.txt<NL>editing.txt   hebrew.txt    if_ruby.txt        motion.txt    os_qnx.txt    pi_spec.txt<HT>     repeat.txt      tagsrch.txt   usr_05.txt<HT>  usr_23.txt  usr_41.txt  version7.txt,ls
CMBEGIN,Sep 24 10:21:58,/usr/share/vim/vim74/doc,file intro.txt,intro.txt: ASCII text,file intro.txt
CMBEGIN,,,cd,,
CMBEGIN,,,cd ..,,
CMBEGIN,,,cd ..,,
